,id,address,latitude,longitude
12378,Philadelphia_Burlington County_Marlton_Holtec Center_1 Holtec Dr,"1 Holtec Dr, Marlton, NJ 8053",39.901996,-74.936852
12379,Philadelphia_Burlington County_Marlton_Lake Center I_10 Lake Center Executive Pky,"10 Lake Center Executive Pky, Marlton, NJ 8053",39.89135,-74.92213
12380,Philadelphia_Burlington County_Marlton_Lake Center V_50 Lake Center Executive Pky,"50 Lake Center Executive Pky, Marlton, NJ 8053",39.89135,-74.92213
12381,Philadelphia_West Market_Philadelphia_Land Title Building_100 S Broad St,"100 S Broad St, Philadelphia, PA 19110",39.950426,-75.164411
12382,Philadelphia_West New Castle County_Wilmington_Little Falls Centre I_2711 Centerville Rd,"2711 Centerville Rd, Wilmington, DE 19808",39.754665,-75.627199
12383,Philadelphia_King of Prussia_King Of Prussia_MASCHELLMAC I_1000 1st Ave,"1000 1st Ave, King Of Prussia, PA 19406",40.09576,-75.40776
12386,Philadelphia_South New Castle County_New Castle_One Corporate Commons_100 W Commons Blvd,"100 W Commons Blvd, New Castle, DE 19720",39.689,-75.60713
12387,Philadelphia_West Market_Philadelphia_One South Broad Street_1 S Broad St,"1 S Broad St, Philadelphia, PA 19107",39.95125,-75.163476
12390,Philadelphia_Media / Newtown Square_Media_Rosetree  2_1400 N Providence Rd,"1400 N Providence Rd, Media, PA 19063",39.918346,-75.381004
12392,Philadelphia_West Market_Philadelphia_The Drexel Bldg_1435-1441 Walnut St,"1435-1441 Walnut St, Philadelphia, PA 19102",39.933503,-75.150739
12398,Philadelphia_PA Turnpike / Rt. 202 Corridor_Wayne_Valley Forge Office Ctr 480_480 E Swedesford Rd,"480 E Swedesford Rd, Wayne, PA 19087",40.07589,-75.421282
12399,Philadelphia_East Market_Philadelphia_Widener Building_1339 Chestnut St,"1339 Chestnut St, Philadelphia, PA 19107",39.950996,-75.163143
12400,Philadelphia_Blue Bell_Blue Bell_Woodlands I_785 Arbor Way,"785 Arbor Way, Blue Bell, PA 19422",40.145191,-75.282965
12401,Philadelphia_Burlington County_Mount Laurel_NA_1000 Bishops Gate Blvd,"1000 Bishops Gate Blvd, Mount Laurel, NJ 8054",39.967292,-74.903667
12404,Philadelphia_West Market_Philadelphia_NA_1500-1506 Walnut St,"1500-1506 Walnut St, Philadelphia, PA 19102",39.933503,-75.150739
12406,Philadelphia_Burlington County_Mount Laurel_NA_2000 Midlantic Dr,"2000 Midlantic Dr, Mount Laurel, NJ 8054",39.965152,-74.914776
12410,Philadelphia_Wilmington_Wilmington_NA_300 Delaware Ave,"300 Delaware Ave, Wilmington, DE 19801",39.790939,-75.479574
12417,Phoenix_Scottsdale South_Scottsdale_5111 Plaza_5111 N Scottsdale Rd,"5111 N Scottsdale Rd, Scottsdale, AZ 85250",33.511796,-111.925386
12418,Phoenix_Central Scottsdale_Scottsdale_90 Mountain View I_9977 N 90th St,"9977 N 90th St, Scottsdale, AZ 85258",33.57574,-111.885332
12420,Phoenix_Arrowhead_Glendale_Bell American Plaza_7111-7121 W Bell Rd,"7111-7121 W Bell Rd, Glendale, AZ 85308",33.637858,-112.210976
12421,Phoenix_Northwest Phoenix_Phoenix_Bellagio Executive Plaza at Camelback_5060 N 19th Ave,"5060 N 19th Ave, Phoenix, AZ 85015",33.511287,-112.101233
12426,Phoenix_Central Scottsdale_Scottsdale_Bldg A_8901 E Pima Center Pky,"8901 E Pima Center Pky, Scottsdale, AZ 85258",33.559878,-111.889059
12429,Phoenix_Scottsdale/Airpark_Scottsdale_Bldg C_18835 N Thompson Peak Pky,"18835 N Thompson Peak Pky, Scottsdale, AZ 85255",33.656771,-111.86647
12437,Phoenix_Scottsdale/Airpark_Scottsdale_Cardone Corporate Center Bldg A_16427 N Scottsdale,"16427 N Scottsdale, Scottsdale, AZ 85254",33.636808,-111.92355
12442,Phoenix_Airport Area_Tempe_Concordia Office Park_1414 W Broadway Rd,"1414 W Broadway Rd, Tempe, AZ 85282",33.408001,-111.962021
12444,Phoenix_Camelback Corridor_Phoenix_Elevate 24  4722 Bldg_4722 N 24th St,"4722 N 24th St, Phoenix, AZ 85016",33.50615,-112.030945
12445,Phoenix_Central Scottsdale_Scottsdale_Gainey Center II_8501 N Scottsdale Rd,"8501 N Scottsdale Rd, Scottsdale, AZ 85253",33.560958,-111.92554
12449,Phoenix_Airport Area_Tempe_McMardon Centre_1430-1438 W Broadway Rd,"1430-1438 W Broadway Rd, Tempe, AZ 85282",33.407418,-111.958678
12455,Phoenix_Chandler_Chandler_Overstreet_140 N Arizona Ave,"140 N Arizona Ave, Chandler, AZ 85225",33.305188,-111.841881
12458,Phoenix_Paradise Valley_Scottsdale_Paradise Valley Plaza_5040 E Shea Blvd,"5040 E Shea Blvd, Scottsdale, AZ 85254",33.583138,-111.972203
12461,Phoenix_Scottsdale/Airpark_Scottsdale_Phase I  Bldg A  B_15880 N Greenway-Hayden Loop,"15880 N Greenway-Hayden Loop, Scottsdale, AZ 85260",33.630262,-111.912542
12462,Phoenix_Scottsdale/Airpark_Scottsdale_Pinnacle in Kierland Bldg I_14624 N Scottsdale Rd,"14624 N Scottsdale Rd, Scottsdale, AZ 85254",33.61926,-111.92673
12463,Phoenix_Scottsdale/Airpark_Scottsdale_Pinnacle in Kierland Bldg IV_14850 N Scottsdale Rd,"14850 N Scottsdale Rd, Scottsdale, AZ 85254",33.62211,-111.92652
12465,Phoenix_Piestewa Peak Corridor_Phoenix_Pointe Business Plaza_7227 N 16th St,"7227 N 16th St, Phoenix, AZ 85020",33.542517,-112.046773
12467,Phoenix_Scottsdale/Airpark_Scottsdale_Raintree Corp Ctr  Phase III_8800 E Raintree Dr,"8800 E Raintree Dr, Scottsdale, AZ 85260",33.619079,-111.889979
12468,Phoenix_Scottsdale/Airpark_Scottsdale_Raintree Corporate Center I_15333 N Pima Rd,"15333 N Pima Rd, Scottsdale, AZ 85260",33.624884,-111.889432
12472,Phoenix_Scottsdale South_Scottsdale_Scottsdale City Centre_7201 E Camelback Rd,"7201 E Camelback Rd, Scottsdale, AZ 85251",33.50175,-111.925241
12475,Phoenix_Scottsdale/Airpark_Scottsdale_Scottsdale Executive Square_13951 N Scottsdale Rd,"13951 N Scottsdale Rd, Scottsdale, AZ 85254",33.613507,-111.925265
12478,Phoenix_Paradise Valley_Phoenix_Shea Professional Plaza_3101 E Shea Blvd,"3101 E Shea Blvd, Phoenix, AZ 85028",33.581902,-112.014729
12479,Phoenix_Scottsdale/Airpark_Scottsdale_Signature Office Suites_8585 E Hartford Dr,"8585 E Hartford Dr, Scottsdale, AZ 85255",33.640757,-111.895191
12482,Phoenix_Tempe_Tempe_Southwest Business Center_4500 S Lakeshore Dr,"4500 S Lakeshore Dr, Tempe, AZ 85282",33.381493,-111.926389
12486,Phoenix_Scottsdale/Airpark_Scottsdale_Terra Verde_16767 N Perimeter Dr,"16767 N Perimeter Dr, Scottsdale, AZ 85260",33.29395,-112.11133
12487,Phoenix_Superstition Corridor_Mesa_The Breezeway Building_2345 S Alma School Rd,"2345 S Alma School Rd, Mesa, AZ 85210",33.372545,-111.858967
12488,Phoenix_Superstition Corridor_Mesa_The Mesa Tower_1201 S Alma School Rd,"1201 S Alma School Rd, Mesa, AZ 85210",33.392483,-111.856464
12489,Phoenix_Downtown_Phoenix_The Monroe_111 W Monroe St,"111 W Monroe St, Phoenix, AZ 85003",33.450124,-112.075543
12490,Phoenix_Tempe_Tempe_The Watermark Phase I_410 N Scottsdale Rd,"410 N Scottsdale Rd, Tempe, AZ 85281",33.433522,-111.927511
12491,Phoenix_Midtown/Central Phoenix_Phoenix_Tudor Plaza_4105 N 20th St,"4105 N 20th St, Phoenix, AZ 85016",33.49583,-112.038448
12493,Phoenix_Tempe_Tempe_Wells Fargo Office Building_1150 W Washington St,"1150 W Washington St, Tempe, AZ 85281",33.442589,-111.954386
12494,Phoenix_Deer Valley/Airport_Phoenix_Whispering Wind Corporate Center_2225 W Whispering Wind Dr,"2225 W Whispering Wind Dr, Phoenix, AZ 85085",33.710412,-112.107275
12495,Phoenix_Tempe_Tempe_NA_1208 E Broadway Rd,"1208 E Broadway Rd, Tempe, AZ 85282",33.408,-111.920145
12498,Phoenix_Scottsdale/Airpark_Scottsdale_NA_15051 N Kierland Blvd,"15051 N Kierland Blvd, Scottsdale, AZ 85254",33.624148,-111.929717
12501,Phoenix_Camelback Corridor_Phoenix_NA_2198 E Camelback Rd,"2198 E Camelback Rd, Phoenix, AZ 85016",33.50976,-112.034829
12502,Phoenix_Airport Area_Phoenix_NA_3137 E Elwood St,"3137 E Elwood St, Phoenix, AZ 85034",33.418985,-112.0144
12503,Phoenix_Midtown_Phoenix_NA_333 E Osborn Rd,"333 E Osborn Rd, Phoenix, AZ 85012",33.487047,-112.068009
12505,Phoenix_West I-10_Goodyear_NA_700 N Estrella Pky,"700 N Estrella Pky, Goodyear, AZ 85338",33.454405,-112.39469
12506,Phoenix_Piestewa Peak Corridor_Phoenix_NA_7500 N Dreamy Draw Dr,"7500 N Dreamy Draw Dr, Phoenix, AZ 85020",33.546765,-112.043319
12508,Raleigh/Durham_Cary_Cary_Crossroads III_111 Corning Rd,"111 Corning Rd, Cary, NC 27518",35.752108,-78.734003
12512,Raleigh/Durham_RTP/RDU_Durham_Forest Creek_4220 NC Hwy 55,"4220 NC Hwy 55, Durham, NC 27713",35.914093,-78.892917
12513,Raleigh/Durham_6 Forks Falls of Neuse_Raleigh_Lakeridge North_900 Ridgefield Dr,"900 Ridgefield Dr, Raleigh, NC 27609",35.864494,-78.62304
12515,Raleigh/Durham_6 Forks Falls of Neuse_Raleigh_Six Forks_5711 Six Forks Rd,"5711 Six Forks Rd, Raleigh, NC 27609",35.859294,-78.640139
12516,Raleigh/Durham_RTP/RDU_Morrisville_Southport 11_909 Aviation Pky,"909 Aviation Pky, Morrisville, NC 27560",35.835808,-78.813918
12522,Raleigh/Durham_RTP/RDU_Durham_NA_100 Capitola Dr,"100 Capitola Dr, Durham, NC 27713",35.891935,-78.889222
12523,Raleigh/Durham_6 Forks Falls of Neuse_Raleigh_NA_1616 E Millbrook Rd,"1616 E Millbrook Rd, Raleigh, NC 27609",35.849409,-78.608333
12525,Raleigh/Durham_6 Forks Falls of Neuse_Raleigh_NA_3900 Merton Dr,"3900 Merton Dr, Raleigh, NC 27609",35.829996,-78.631198
12528,Raleigh/Durham_Outer Counties_Chapel Hill_NA_50101 Governors Dr,"50101 Governors Dr, Chapel Hill, NC 27517",35.854676,-79.024984
12529,Raleigh/Durham_West Raleigh_Raleigh_NA_5444 Wade Park Blvd,"5444 Wade Park Blvd, Raleigh, NC 27607",35.808215,-78.730487
12531,Raleigh/Durham_Glenwood/Creedmoor_Raleigh_NA_6511 Creedmoor Rd,"6511 Creedmoor Rd, Raleigh, NC 27613",35.875369,-78.679611
12532,Salt Lake City_Central West_Salt Lake City_Atrium Bldg_5250 Commerce Dr,"5250 Commerce Dr, Salt Lake City, UT 84107",40.657501,-111.899116
12534,Salt Lake City_Central East_Salt Lake City_Building B_4568 S Highland Dr,"4568 S Highland Dr, Salt Lake City, UT 84117",40.67208,-111.841249
12535,Salt Lake City_Southeast_Sandy_Building I South Towne Corporate Center_150 W Civic Center Dr,"150 W Civic Center Dr, Sandy, UT 84070",40.572977,-111.895298
12536,Salt Lake City_Southeast_Sandy_Building II South Towne Corporate Center_200 W Civic Center Dr,"200 W Civic Center Dr, Sandy, UT 84070",40.572813,-111.896134
12538,Salt Lake City_Utah County North_Draper_Draper Town Square_405 E 12450 S,"405 E 12450 S, Draper, UT 84020",40.52516,-111.879662
12539,Salt Lake City_Northeast_Salt Lake City_Komas_650 Komas Dr,"650 Komas Dr, Salt Lake City, UT 84108",40.754625,-111.829187
12540,Salt Lake City_CBD-Periphery_Salt Lake City_One Gateway Office Center_90 S 400 W,"90 S 400 W, Salt Lake City, UT 84101",40.76779,-111.903019
12541,Salt Lake City_Northeast_Salt Lake City_Plaza 721_675 E 2100 S,"675 E 2100 S, Salt Lake City, UT 84106",40.725871,-111.872635
12544,Salt Lake City_CBD-Periphery_Salt Lake City_Six Gateway_460 W 50 N,"460 W 50 N, Salt Lake City, UT 84101",40.77062,-111.904067
12545,Salt Lake City_CBD_Salt Lake City_Social Hall Plaza_150 E Social Hall Ave,"150 E Social Hall Ave, Salt Lake City, UT 84136",40.768079,-111.886238
12546,Salt Lake City_Central West_Salt Lake City_Temkin Bldg Former Bridge Bldg_5295 S Commerce Dr,"5295 S Commerce Dr, Salt Lake City, UT 84107",40.65556,-111.899317
12549,Salt Lake City_Southeast_South Jordan_Towers at South Towne II_10421 S Jordan Gtwy,"10421 S Jordan Gtwy, South Jordan, UT 84095",40.562143,-111.901419
12550,Salt Lake City_Southeast_Midvale_Union Park III_6985 Union Park,"6985 Union Park, Midvale, UT 84047",40.620735,-111.87218
12558,San Diego_South/Southeast Corridor_La Mesa_Allied Plaza_7777 Alvarado Rd,"7777 Alvarado Rd, La Mesa, CA 91942",32.77233,-117.0317
12569,San Diego_Kearny Mesa_San Diego_Haidinger Plaza_5095 Murphy Canyon Rd,"5095 Murphy Canyon Rd, San Diego, CA 92123",32.830994,-117.120013
12570,San Diego_Central Suburban_San Diego_Harbor View Professional Plaza_2535 Kettner Blvd,"2535 Kettner Blvd, San Diego, CA 92101",32.730562,-117.171952
12576,San Diego_North County West_Encinitas_Mammoth Professional Bldg_169 Saxony Rd,"169 Saxony Rd, Encinitas, CA 92024",33.050299,-117.283953
12577,San Diego_La Jolla_La Jolla_Manchester Financial Bldg_7979 Ivanhoe Ave,"7979 Ivanhoe Ave, La Jolla, CA 92037",32.848556,-117.272252
12579,San Diego_Mission Valley_San Diego_Mission City_2365 Northside Dr,"2365 Northside Dr, San Diego, CA 92108",32.78388,-117.125407
12580,San Diego_Mission Valley_San Diego_Mission Valley Executive Plaza_2815 Camino del Rio S,"2815 Camino del Rio S, San Diego, CA 92108",32.768675,-117.134108
12583,San Diego_UTC_San Diego_One La Jolla Center_4655 Executive Dr,"4655 Executive Dr, San Diego, CA 92121",32.875818,-117.206102
12584,San Diego_Carlsbad_Carlsbad_Palomar Terrace_3115 Melrose Dr,"3115 Melrose Dr, Carlsbad, CA 92010",33.133576,-117.24529
12585,San Diego_I-15 Corridor_San Diego_Rancho Bernardo Courtyard_16935 W Bernardo Dr,"16935 W Bernardo Dr, San Diego, CA 92127",33.022725,-117.080916
12587,San Diego_Mission Valley_San Diego_Rio Vista Plaza I_8989 Rio San Diego Dr,"8989 Rio San Diego Dr, San Diego, CA 92108",32.775125,-117.13669
12589,San Diego_Kearny Mesa_San Diego_Sky Park Office Plaza_9275 Sky Park Ct,"9275 Sky Park Ct, San Diego, CA 92123",32.81532,-117.12575
12590,San Diego_Sorrento Mesa_San Diego_Sorrento Mesa Office Plaza_5230 Carroll Canyon Rd,"5230 Carroll Canyon Rd, San Diego, CA 92121",32.891602,-117.194557
12594,San Diego_Carlsbad_Carlsbad_The Atrium  Bressi Ranch_2888 Loker Ave E,"2888 Loker Ave E, Carlsbad, CA 92010",33.130676,-117.247803
12595,San Diego_Carlsbad_Carlsbad_The Campus_5962 La Place Ct,"5962 La Place Ct, Carlsbad, CA 92008",33.132312,-117.270457
12598,San Diego_Del Mar Hts/Carmel Valley_San Diego_WAVE_11512 El Camino Real,"11512 El Camino Real, San Diego, CA 92130",32.927619,-117.239045
12599,San Diego_Del Mar Hts/Carmel Valley_San Diego_NA_12220 El Camino Real,"12220 El Camino Real, San Diego, CA 92130",32.936876,-117.240062
12601,San Diego_Carlsbad_Carlsbad_NA_1902 Wright Pl,"1902 Wright Pl, Carlsbad, CA 92008",33.121235,-117.287588
12602,San Diego_Mission Valley_San Diego_NA_2650 Camino Del Rio N,"2650 Camino Del Rio N, San Diego, CA 92108",32.773102,-117.135193
12603,San Diego_UTC_San Diego_NA_4435 Eastgate Mall,"4435 Eastgate Mall, San Diego, CA 92121",32.877218,-117.21051
12604,San Diego_Downtown_San Diego_NA_451 A St,"451 A St, San Diego, CA 92101",32.718626,-117.160653
12605,San Diego_Kearny Mesa_San Diego_NA_4669 Murphy Canyon Rd,"4669 Murphy Canyon Rd, San Diego, CA 92123",32.826375,-117.118892
12607,San Diego_Kearny Mesa_San Diego_NA_5050 Murphy Canyon Rd,"5050 Murphy Canyon Rd, San Diego, CA 92123",32.830459,-117.120524
12609,San Diego_Downtown_San Diego_NA_701 B St,"701 B St, San Diego, CA 92101",32.717563,-117.157908
12611,San Diego_Kearny Mesa_San Diego_NA_8755 Aero Dr,"8755 Aero Dr, San Diego, CA 92123",32.808928,-117.13952
12618,San Francisco_Rincon/South Beach_San Francisco_160 King St_153 Townsend St,"153 Townsend St, San Francisco, CA 94107",37.77942,-122.391579
12623,San Francisco_Jackson Square_San Francisco_505513 Jackson St_735 Montgomery St,"735 Montgomery St, San Francisco, CA 94111",37.796282,-122.403706
12624,San Francisco_Financial District South_San Francisco_595 Market Street_595 Market St,"595 Market St, San Francisco, CA 94105",37.789238,-122.400778
12629,San Francisco_Financial District South_San Fransisco_Hawthorne Plaza_75 Hawthorne St,"75 Hawthorne St, San Fransisco, CA 94105",37.785529,-122.397982
12632,San Francisco_Jackson Square_San Francisco_North Park  Bldg 1_560 Davis St,"560 Davis St, San Francisco, CA 94111",37.797678,-122.398001
12633,San Francisco_Financial District North_San Francisco_One Front Street_One Front St,"One Front St, San Francisco, CA 94111",37.796942,-122.399515
12634,San Francisco_Union Square/Civic Center_San Francisco_One Kearny_1 Kearny St,"1 Kearny St, San Francisco, CA 94108",37.787674,-122.403839
12635,San Francisco_Financial District South_San Francisco_Steuart Place_131-141 Steuart St,"131-141 Steuart St, San Francisco, CA 94105",37.792664,-122.392482
12641,San Francisco_SOMA_San Francisco_NA_1049 Market St,"1049 Market St, San Francisco, CA 94103",37.781103,-122.411031
12643,San Francisco_Financial District South_San Francisco_NA_215 Fremont St,"215 Fremont St, San Francisco, CA 94105",37.78926,-122.394597
12647,San Francisco_Financial District North_San Francisco_NA_400-404 Montgomery St,"400-404 Montgomery St, San Francisco, CA 94104",37.797769,-122.403785
12649,San Francisco_Union Square/Civic Center_San Francisco_NA_530-540 Bush St,"530-540 Bush St, San Francisco, CA 94108",37.788366,-122.422927
12652,San Francisco_Yerba Buena_San Francisco_NA_959-965 Mission St,"959-965 Mission St, San Francisco, CA 94103",37.782001,-122.407421
12654,Seattle_I-90 / East King County_Bellevue_12600 Building_12600 SE 38th St,"12600 SE 38th St, Bellevue, WA 98006",47.577463,-122.171069
12655,Seattle_Fremont / North Seattle_Seattle_45th Street Plaza_1100 NE 45th St,"1100 NE 45th St, Seattle, WA 98105",47.661489,-122.316276
12656,Seattle_Pioneer Sq/SoDo_Seattle_4700 42nd Ave SW_4700-4754 42nd Ave SW,"4700-4754 42nd Ave SW, Seattle, WA 98116",47.56542,-122.385468
12657,Seattle_Seattle CBD_Seattle_511 Boren Bldg_511 Boren Ave N,"511 Boren Ave N, Seattle, WA 98109",47.623534,-122.336183
12659,Seattle_Fremont / North Seattle_Seattle_645 Elliott West  North Building_645 Elliott Ave W,"645 Elliott Ave W, Seattle, WA 98119",47.626061,-122.368199
12661,Seattle_Seattle CBD_Seattle_800 Fifth_800 5th Ave,"800 5th Ave, Seattle, WA 98104",47.60572,-122.330275
12662,Seattle_Everett CBD_Everett_Bank of America Building_1602-1604 Hewitt Ave,"1602-1604 Hewitt Ave, Everett, WA 98201",47.979227,-122.202023
12663,Seattle_Eastside_Bellevue_Bel Spring 520  East Bldg_11820 Northup Way,"11820 Northup Way, Bellevue, WA 98005",47.63332,-122.181693
12665,Seattle_Northend_Everett_Bldg II_1000 SE Everett Mall Way,"1000 SE Everett Mall Way, Everett, WA 98208",47.90992,-122.219487
12667,Seattle_I-90 / East King County_Bellevue_Bldg III_3180 139th Ave SE,"3180 139th Ave SE, Bellevue, WA 98005",47.581804,-122.154172
12673,Seattle_Tacoma_Tacoma_Columbia Bank Bldg_1102 Broadway,"1102 Broadway, Tacoma, WA 98402",47.252934,-122.44056
12675,Seattle_Southend_Kent_Creekside  Bldg 2_20425 72nd Ave S,"20425 72nd Ave S, Kent, WA 98032",47.417701,-122.24564
12677,Seattle_Seattle CBD_Seattle_Eastlake Center I_2825 Eastlake Ave E,"2825 Eastlake Ave E, Seattle, WA 98102",47.646358,-122.325727
12678,Seattle_Eastside_Bellevue_Eastridge Corporate Ctr  Bldg B_11911 NE 1st St,"11911 NE 1st St, Bellevue, WA 98005",47.610596,-122.180643
12679,Seattle_Seattle CBD_Seattle_Financial Center_1215 4th Ave,"1215 4th Ave, Seattle, WA 98161",47.607698,-122.334729
12681,Seattle_Seattle CBD_Seattle_Fourth  Madison_925 4th Ave,"925 4th Ave, Seattle, WA 98104",47.605559,-122.333208
12682,Seattle_Northend_Lynnwood_Gesa Lynnwood Building_3405 188th St SW,"3405 188th St SW, Lynnwood, WA 98037",47.828545,-122.279357
12683,Seattle_Pierce Co. Suburban_Gig Harbor_Gig Harbor Financial Center_6625 Wagner Way,"6625 Wagner Way, Gig Harbor, WA 98335",47.31917,-122.593192
12684,Seattle_Eastside_Bellevue_Hidden Valley Office Park_1750 112th Ave NE,"1750 112th Ave NE, Bellevue, WA 98004",47.625964,-122.190179
12688,Seattle_Southend_Renton_Millennium Centre_1201 Monster Rd SW,"1201 Monster Rd SW, Renton, WA 98057",47.470141,-122.245172
12689,Seattle_Eastside_Bellevue_Nine Lake Bellevue_9 Lake Bellevue Dr,"9 Lake Bellevue Dr, Bellevue, WA 98005",47.619691,-122.183003
12694,Seattle_Tacoma_Tacoma_On Broadway Bldg_1142 Broadway,"1142 Broadway, Tacoma, WA 98402",47.251789,-122.440091
12696,Seattle_Pioneer Sq/SoDo_Seattle_Palmer Court Building_1000 1st Ave S,"1000 1st Ave S, Seattle, WA 98134",47.594012,-122.333562
12699,Seattle_Southend_Tukwila_Riverview Plaza II_16000 Christensen Rd,"16000 Christensen Rd, Tukwila, WA 98188",47.459012,-122.247924
12703,Seattle_Eastside_Bellevue_Washington Park  East Bldg_1407 116th Ave NE,"1407 116th Ave NE, Bellevue, WA 98004",47.623284,-122.186251
12708,Seattle_Eastside_Bellevue_NA_40 Lake Bellevue Dr,"40 Lake Bellevue Dr, Bellevue, WA 98005",47.619276,-122.180948
12711,South Bay/San Jose_Sunnyvale/Cupertino_Sunnyvale_390 W Java Dr_388 W Java Dr,"388 W Java Dr, Sunnyvale, CA 94089",37.413413,-122.022869
12712,South Bay/San Jose_Fremont (880 Corridor)_Fremont_39465 Paseo Padre Parkway_39465 Paseo Padre Pky,"39465 Paseo Padre Pky, Fremont, CA 94538",37.549952,-121.976109
12713,South Bay/San Jose_North San Jose_San Jose_Bayshore Plaza_2107 N 1st St,"2107 N 1st St, San Jose, CA 95131",37.374564,-121.920136
12718,South Bay/San Jose_Mountain View/Los Altos_Mountain View_Building 16_825 E Middlefield Rd,"825 E Middlefield Rd, Mountain View, CA 94043",37.388199,-122.04846
12719,South Bay/San Jose_Downtown San Jose_San Jose_Comerica Bank Bldg_333 W Santa Clara St,"333 W Santa Clara St, San Jose, CA 95113",37.334279,-121.896154
12724,South Bay/San Jose_Downtown San Jose_San Jose_NCR Bldg_1671 The Alameda,"1671 The Alameda, San Jose, CA 95126",37.336548,-121.919021
12725,South Bay/San Jose_Fremont (880 Corridor)_Fremont_Phase II_2201 Walnut Ave,"2201 Walnut Ave, Fremont, CA 94538",37.55551,-121.975952
12727,South Bay/San Jose_Menlo Park (San Mateo South)_Menlo Park_Sand Hill Commons_2882 Sand Hill Rd,"2882 Sand Hill Rd, Menlo Park, CA 94025",37.42197,-122.21408
12732,South Bay/San Jose_Santa Clara_Santa Clara_The Atrium  Lakeside_2880 Lakeside Dr,"2880 Lakeside Dr, Santa Clara, CA 95054",37.383315,-121.980164
12735,South Bay/San Jose_Menlo Park (San Mateo South)_Menlo Park_NA_2200 Sand Hill Rd,"2200 Sand Hill Rd, Menlo Park, CA 94025",37.4229,-122.19954
12736,South Bay/San Jose_Downtown San Jose_San Jose_NA_225 W Santa Clara St,"225 W Santa Clara St, San Jose, CA 95113",37.335006,-121.894574
12737,South Bay/San Jose_Mountain View/Los Altos_Mountain View_NA_2440 W El Camino Real,"2440 W El Camino Real, Mountain View, CA 94040",37.399245,-122.10767
12738,South Bay/San Jose_Mountain View/Los Altos_Mountain View_NA_2465 Latham St,"2465 Latham St, Mountain View, CA 94040",37.399827,-122.108363
12739,South Bay/San Jose_Palo Alto_Palo Alto_NA_2555 Park Blvd,"2555 Park Blvd, Palo Alto, CA 94306",37.427747,-122.14141
12741,South Bay/San Jose_Mountain View/Los Altos_Mountain View_NA_800 W El Camino Real,"800 W El Camino Real, Mountain View, CA 94040",37.386585,-122.08419
12743,South Bay/San Jose_Milpitas_Milpitas_NA_860 Hillview Ct,"860 Hillview Ct, Milpitas, CA 95035",37.436123,-121.891698
12744,South Bay/San Jose_Sunnyvale/Cupertino_Sunnyvale_NA_910 Hermosa Ct,"910 Hermosa Ct, Sunnyvale, CA 94085",37.387036,-122.04085
12745,South Florida_NE Dade_Aventura_10X Centre_18851 NE 29th Ave,"18851 NE 29th Ave, Aventura, FL 33180",25.950139,-80.141878
12748,South Florida_Miami Lakes/Hialeah_Miami Lakes_14261 Building_14261 Commerce Way,"14261 Commerce Way, Miami Lakes, FL 33016",25.903039,-80.32983
12750,South Florida_Hollywood/Hallandale_Hallandale Beach_1920 Building_1920 E Hallandale Beach Blvd,"1920 E Hallandale Beach Blvd, Hallandale Beach, FL 33009",25.985496,-80.12845
12752,South Florida_Palm Beach_Palm Beach_1st National Bank Bldg_255 S County Rd,"255 S County Rd, Palm Beach, FL 33480",26.70591,-80.036208
12754,South Florida_Downtown Fort Lauderdale_Fort Lauderdale_350 Las Olas Centre_350 E Las Olas Blvd,"350 E Las Olas Blvd, Fort Lauderdale, FL 33301",26.118812,-80.13978
12755,South Florida_North Broward_Tamarac_5701 N Pine Island Rd_5701 NW 88th Ave,"5701 NW 88th Ave, Tamarac, FL 33321",26.195226,-80.269077
12767,South Florida_West Miami/Airport_Miami_Airport Executive Tower I_1150 NW 72nd Ave,"1150 NW 72nd Ave, Miami, FL 33126",25.78173,-80.313091
12770,South Florida_NE Dade_Aventura_Aventura Corporate Center  II_20803 Biscayne Blvd,"20803 Biscayne Blvd, Aventura, FL 33180",25.968442,-80.143126
12774,South Florida_NE Dade_Aventura_Aventura ParkSquare Signature_2980 NE 207th St,"2980 NE 207th St, Aventura, FL 33180",25.966727,-80.1423
12775,South Florida_Cypress Creek/Fort Lauderdale_Fort Lauderdale_Avion Corporate Center_2200 W Commercial Blvd,"2200 W Commercial Blvd, Fort Lauderdale, FL 33309",26.187144,-80.172641
12780,South Florida_NE Dade_Miami_Bayshore Executive Plaza_10800 Biscayne Blvd,"10800 Biscayne Blvd, Miami, FL 33161",25.875212,-80.170708
12781,South Florida_Downtown Miami_Miami_Bayside Office Center_141 NE 3rd Ave,"141 NE 3rd Ave, Miami, FL 33132",25.77604,-80.188515
12782,South Florida_South Dade_Miami_Bldg 4_10631 N Kendall Dr,"10631 N Kendall Dr, Miami, FL 33176",25.688123,-80.36424
12783,South Florida_Boca Raton_Boca Raton_Bldg 5  7_6401 Congress Ave,"6401 Congress Ave, Boca Raton, FL 33487",26.402779,-80.10312
12784,South Florida_South Dade_Miami_Bldg 9_10691 N Kendall Dr,"10691 N Kendall Dr, Miami, FL 33176",25.688555,-80.365303
12786,South Florida_Cypress Creek/Fort Lauderdale_Lauderdale Lakes_Bldg H_4620 N State Road 7,"4620 N State Road 7, Lauderdale Lakes, FL 33319",26.181958,-80.201507
12788,South Florida_Boca Raton_Boca Raton_Boca Corporate Centre_7777 Glades Rd,"7777 Glades Rd, Boca Raton, FL 33434",26.36939,-80.168124
